Herb_id,Field_name,Field_context
147,Latin_name,Trichosanthis Fructus
147,English_name,Trichosanthes Kirilowii Maxim
148,Chinese_name,关黄柏
148,Pinyin_name,Guanhuangbo
148,Latin_name,Phellodendri Amurensis Cortex
148,English_name,Phellodendri Amurensis Cortex
149,Chinese_name,贯叶金丝桃
149,Pinyin_name,Guanyejinsitao 
149,Latin_name,Hyperici Perforati Herba
149,English_name,Herbahypericiperforati
150,Chinese_name,绵马贯众
150,Pinyin_name,Mianmaguanzhong
150,Latin_name,"Rhizoma Dryopteris Crassirhizomae,Dryopteridis Crassirhizomatis Rhizoma"
150,English_name,root of Chinese Angelica
151,Chinese_name,广藿香
151,Pinyin_name,Guanghuoxiang
151,Latin_name,Pogostemonis Herba
151,English_name,Pogostemon Cablin (Blanco) Benth.
152,Chinese_name,广枣
152,Pinyin_name,Guangzao
152,Latin_name,"Choerospondiatis Fructus,Fructus Choerospondiatis"
152,English_name,fruit of Axillary choerospondias
153,Chinese_name,鬼箭羽
153,Pinyin_name,Guijianyu
153,Latin_name,Ramulus Euonymi
153,English_name,twig of Winged Euonymus
154,Chinese_name,鬼针草
154,Pinyin_name,Guizhencao
154,Latin_name,Herba Bidentis
154,English_name,all-grass of Spanishneedles
155,Chinese_name,桂枝
155,Pinyin_name,Guizi
155,Latin_name,"Cinnamomi Ramulus,Ramulus Cinmomi"
155,English_name,Cassia Twig
156,Chinese_name,海风藤
156,Pinyin_name,Haifengteng
156,Latin_name,"Piperis Kadsurae Caulis,Caulis Piperis Kadsurae；Caulis Piperis Futokadsurae"
156,English_name,stem of Kadsura Pepper
157,Chinese_name,海金沙
157,Pinyin_name,Haijinsha
157,Latin_name,"Spora Lygodii,Lygodii Spora"
157,English_name,spore of Japanese climbing Fern
158,Chinese_name,海桐皮
158,Pinyin_name,Haitongpi
158,Latin_name,Cortex Erythrie
158,English_name,bark of Oriental Variegated Coralbean
159,Chinese_name,海藻
159,Pinyin_name,Haizao
159,Latin_name,Sargassum
159,English_name,seaweed
160,Chinese_name,诃子
160,Pinyin_name,Hezi
160,Latin_name,"Chebulae Fructus,Fructus Chebulae"
160,English_name,Medicine Termilia Fruit
161,Chinese_name,荷叶
161,Pinyin_name,Heye
161,Latin_name,"Folium Nelumbinis,Nelumbinis Folium"
161,English_name,Lotus leaf
162,Chinese_name,核桃仁
162,Pinyin_name,Hetaoren
162,Latin_name,"Semen Juglandis,Juglandis Semen"
162,English_name,English Walnut Seed
163,Chinese_name,鹤虱
163,Pinyin_name,Heshi
163,Latin_name,"Carpesii Fructus,Fructus Carpesii"
163,English_name,Common Carpesium Fruit
164,Chinese_name,黑豆
164,Pinyin_name,Heidou
164,Latin_name,"Semen Glycine Max,Sojae Semen Nigrum"
164,English_name,Black bean
165,Chinese_name,黑老虎
165,Pinyin_name,Heilaohu
165,English_name,Kadsurae Coccineae Radix Et Caulis
166,Chinese_name,黑芝麻
166,Pinyin_name,Heizhima
166,Latin_name,"Sesami Semen Nigrum,Semen Sesami Nigrum"
166,English_name,Black Sesame
167,Chinese_name,红参
167,Pinyin_name,Hongshen
167,Latin_name,"Radix Ginseng Rubra,Ginseng Radix Et Rhizoma Rubra"
167,English_name,Red Ginseng
168,Chinese_name,红花
168,Pinyin_name,Honghua
168,Latin_name,"Flos Carthami,Carthami Flos"
168,English_name,Safflower
169,Chinese_name,红芪
169,Pinyin_name,Hongqi
169,Latin_name,Hedysari Radix
169,English_name,Hedysari Radix
170,Chinese_name,猴枣
170,Pinyin_name,Houzao
170,English_name,Macacae Calcalus Gasteris
171,Chinese_name,厚朴
171,Pinyin_name,Houpo
171,Latin_name,"Cortex Magnoliae Officilis,Magnoliae Officinalis Cortex"
171,English_name,bark of Officil magnolia
172,Chinese_name,胡黄连
172,Pinyin_name,Huhuangl1an
172,Latin_name,Picrorhizae Rhizoma
172,English_name,Picrorhizae Rhizoma
173,Chinese_name,胡椒
173,Pinyin_name,Hujiao
173,Latin_name,"Fructus Piperis,Piperis Fructus"
173,English_name,Pepper Fruit
174,Chinese_name,胡芦巴
174,Pinyin_name,Huluba
174,Latin_name,Trigonellae Semen
174,English_name,Trigonellae Semen
175,Chinese_name,槲寄生
175,Pinyin_name,Hujisheng
175,Latin_name,"Herba Visci,Visci Herba"
175,English_name,Colored Mistletoe Herb
176,Chinese_name,虎耳草
176,Pinyin_name,Huercao
176,Latin_name,Herba Saxifragae
176,English_name,stem or leaf of Fung Waxplant
177,Chinese_name,虎杖
177,Pinyin_name,Huzhang
177,Latin_name,"Rhizoma Polygoni Cuspidati,Polygoni Cuspidati Rhizoma Et Radix"
177,English_name,rhizome of Gaint Knotweed
178,Chinese_name,花椒
178,Pinyin_name,Huajiao
178,Latin_name,"Zanthoxyli Pericarpium,Pericarpium Zanthoxyli"
178,English_name,Pricklyash Peel
179,Chinese_name,花生衣
179,Pinyin_name,Huashengyi
179,Latin_name,Testa Arachidis Hypogaeae
179,English_name,Semino-dermis Arachidis 
180,Chinese_name,华山参
